,real,predict
308,286.66,289.6982
309,288.10001,288.7289
310,280.85999,287.92142
311,283.39999,286.8752
312,285.06,286.08527
313,287.70001,285.79816
314,285.84,286.011
315,283.95001,286.23135
316,286.51001,286.33728
317,285.63,286.59006
318,282.14001,286.90524
319,282.78,286.68787
320,280.14999,286.2268
321,278.26999,285.58423
322,279.03,284.55127
323,275.26999,283.5275
324,274.57001,282.36966
325,280.53,281.03973
326,282.95999,280.14716
327,284.79999,279.9112
328,287.64999,280.27744
329,288.97,281.14096
330,288.89999,282.36646
331,288.39001,283.7019
332,289.57999,284.94217
333,289.26001,286.0405
334,289.37,286.89767
335,292.39999,287.6268
336,293.06,288.12817
337,295.85999,288.4582
338,294.0,288.65683
339,293.64001,288.90576
340,290.76001,289.49927
341,290.47,289.99487
342,291.5,290.4877
343,293.0,291.08057
344,295.66,291.6566
345,296.42999,292.1394
346,298.79999,292.6559
347,298.45999,293.46936
348,296.82001,294.37537
349,297.19,295.16217
350,298.60999,295.8602
351,299.31,296.42343
352,300.64999,296.9106
353,300.75,297.50345
354,299.70999,298.2136
355,297.73999,298.86194
356,298.82999,299.27274
357,297.17001,299.43573
358,297.89999,299.22333
359,300.03,298.99615
360,301.44,299.0065
361,300.0,299.27957
362,302.01001,299.55984
363,301.45999,299.97296
364,300.72,300.47348
365,297.42999,300.8712
366,294.84,300.55243
367,292.62,299.33475
368,283.82001,297.65417
369,287.79999,295.22052
370,287.97,292.9579
371,293.62,291.1382
372,291.62,290.41174
373,288.07001,290.43915
374,292.54999,290.78052
375,283.89999,291.25186
376,284.64999,290.9595
377,288.85001,290.16342
378,292.32999,289.49207
379,290.09,289.50696
380,292.45001,289.9711
381,292.35999,290.72525
382,284.85001,291.48907
383,288.0,291.12354
384,286.87,290.35284
385,288.89001,289.6507
386,292.57999,289.31323
387,292.45001,289.53394
388,290.73999,290.05933
389,294.04001,290.49478
390,297.82001,291.05478
391,298.04999,291.72797
392,298.20001,292.58417
393,298.13,293.55405
394,300.25,294.4368
395,301.29001,295.22235
396,301.09,295.92752
397,300.16,296.6123
398,300.92001,297.24573
399,301.10001,297.95218
400,301.07999,298.5541
401,298.28,298.9256
402,298.20999,298.89694
403,295.87,298.84988
404,297.62,298.54062
405,297.0,298.24402
406,295.39999,298.07156
407,296.76999,297.8281
408,293.23999,297.75235
409,288.06,297.48032
410,290.42001,296.45154
